College/University,City,State,Division,Teams,
Abilene Christian University,Abilene,TX,NCAA I,M,W
Abraham Baldwin Agricultural College,Tifton,GA,NJCAA,M,
Academy of Art University,San Francisco,CA,NCAA II,M,W
Adams State University,Alamosa,CO,NCAA II,,W
Adelphi University,Garden City,NY,NCAA II,M,W
Adirondack CC,Queensbury,NY,NJCAA,M,W
Adrian College,Adrian,MI,NCAA III,M,W
Alabama A & M University,Normal,AL,NCAA I,M,
Alabama State University,Montgomery,AL,NCAA I,M,W
Albertus Magnus College,New Haven,CT,NCAA III,M,
Albion College,Albion,MI,NCAA III,M,W
Albright College,Reading,PA,NCAA III,M,W
Alexandria Technical & CC,Alexandria,MN,NJCAA,M,W
Alice Lloyd College,Pippa Passes,KY,NAIA,M,
Allan Hancock College,Santa Maria,CA,CCCAA,M,W
Allegheny College,Meadville,PA,NCAA III,M,W
Alma College,Alma,MI,NCAA III,M,W
Alvernia University,Reading,PA,NCAA III,M,W
Alverno College,Milwaukee,WI,NCAA III,,W
American International College,Springfield,MA,NCAA II,M,W
American River College,Sacramento,CA,CCCAA,M,
Amherst College,Amherst,MA,NCAA III,M,W
Ancilla College,Donaldson,IN,NJCAA,M,W
Anderson University,Anderson,IN,NCAA III,M,W
Anderson University,Anderson,SC,NCAA II,M,W
Andrew College,Cuthbert,GA,NJCAA,M,
Angelo State University,San Angelo,TX,NCAA II,,W
Anne Arundel CC,Arnold,MD,NJCAA,M,
Antelope Valley College,Lancaster,CA,CCCAA,M,W
Appalachian State University,Boone,NC,NCAA I,M,W
Aquinas College,Grand Rapids,MI,NAIA,M,W
Arcadia University,Glenside,PA,NCAA III,M,W
Arizona Christian University,Phoenix,AZ,NAIA,M,W
Arizona State University,Tempe,AZ,NCAA I,M,W
Arkansas State University,Jonesboro,AR,NCAA I,M,W
Arkansas Tech University,Russellville,AR,NCAA II,M,W
Asbury University,Wilmore,KY,NCAA III,M,W
Ashland University,Ashland,OH,NCAA II,M,W
Assumption College,Worcester,MA,NCAA II,M,W
Auburn University,Auburn,AL,NCAA I,M,W
Augsburg College,Minneapolis,MN,NCAA III,M,W
Augusta University,Augusta,GA,NCAA I,M,W
Augustana College,Rock Island,IL,NCAA III,M,W
Augustana University,Sioux Falls,SD,NCAA II,M,W
Aurora University,Aurora,IL,NCAA III,M,W
Austin Peay State University,Clarksville,TN,NCAA I,M,W
Ave Maria University,Ave Maria,FL,NAIA,M,W
Averett University,Danville,VA,NCAA III,M,W
Babson College,Wellesley,MA,NCAA III,M,W
Bacone College,Muskogee,OK,NAIA,M,W
Baker University,Baldwin City,KS,NAIA,M,W
Bakersfield College,Bakersfield,CA,CCCAA,M,W
Baldwin Wallace University,Berea,OH,NCAA III,M,W
Ball State University,Muncie,IN,NCAA I,M,W
Baptist Bible College,Springfield,MO,NCCAA,M,W
Barnard (Columbia Univ),New York,NY,NCAA I,,W
Barry University,Miami,FL,NCAA II,M,W
Barton College,Wilson,NC,NCAA II,M,W
Barton County CC,Great Bend,KS,NJCAA,M,W
Bates College,Lewiston,ME,NCAA III,M,W
Baylor University,Waco,TX,NCAA I,M,W
Belhaven University,Jackson,MS,NCAA III,M,
Bellarmine University,Louisville,KY,NCAA I,M,W
Bellevue College,Bellevue,WA,NWAC,M,W
Bellevue University,Bellevue,NE,NAIA,M,W
Belmont Abbey College,Belmont,NC,NCAA II,M,W
Belmont University,Nashville,TN,NCAA I,M,W
Bemidji State University,Bemidji,MN,NCAA II,M,W
Benedictine University,Lisle,IL,NCAA III,M,W
Benedictine University - Mesa,Mesa,AZ,NAIA,M,W
Bentley University,Waltham,MA,NCAA II,M,
Berea College,Berea,KY,NCAA III,M,
Berry College,Mount Berry,GA,NCAA III,M,W
Bethany College,Lindsborg,KS,NAIA,M,W
Bethany College,Bethany,WV,NCAA III,M,W
Bethany Lutheran College,Mankato,MN,NCAA III,M,W
Bethel College,Mishawaka,IN,NAIA,M,W
Bethel College,North Newton,KS,NAIA,M,
Bethel University,Saint Paul,MN,NCAA III,M,W
Bethel University,McKenzie,TN,NAIA,M,W
Bethune-Cookman University,Daytona Beach,FL,NCAA I,,W
Binghamton University,Vestal,NY,NCAA I,M,
Biola University,La Mirada,CA,NCAA II,,W
Bishop State CC,Mobile,AL,NJCAA,M,W
Black Hawk College,Moline,IL,NJCAA,M,
Black Hills State University,Spearfish,SD,NCAA II,,W
Blackburn College,Carlinville,IL,NCAA III,M,W
Blinn College,Brenham,TX,NJCAA,M,W
Bloomsburg University,Bloomsburg,PA,NCAA II,M,W
Blue Mountain College,Blue Mountain,MS,NAIA,M,W
Bluefield College,Bluefield,VA,NAIA,M,
Bluefield State University,Bluefield,WV,NCAA II,M,W
Bluffton University,Bluffton,OH,NCAA III,M,W
Bob Jones University,Greenville,SC,NCAA III,M,
Boise State University,Boise,ID,NCAA I,M,W
Boston College,Chestnut Hill,MA,NCAA I,M,W
Boston University,Boston,MA,NCAA I,,W
Bowdoin College,Brunswick,ME,NCAA III,M,W
Bowling Green State University,Bowling Green,OH,NCAA I,M,W
Bradley University,Peoria,IL,NCAA I,M,W
Brenau University,Gainesville,GA,NAIA,,W
Brescia University,Owensboro,KY,NAIA,M,W
Brewton-Parker College,Mount Vernon,GA,NAIA,M,
Briar Cliff University,Sioux City,IA,NAIA,M,W
Bridgewater College,Bridgewater,VA,NCAA III,M,W
Brigham Young University,Provo,UT,NCAA I,M,W
Bristol CC,Fall River,MA,NJCAA,M,W
Bryan College,Dayton,TN,NAIA,M,W
Bryant & Stratton College,Wauwatosa,WI,NJCAA,M,W
Bryant University,Smithfield,RI,NCAA I,M,W
Bucknell University,Lewisburg,PA,NCAA I,M,W
Buena Vista University,Storm Lake,IA,NCAA III,M,W
Bushnell University,Eugene,OR,NAIA,M,W
Butler County CC,Butler,PA,NJCAA,M,W
Butler University,Indianapolis,IN,NCAA I,M,W
Butte College,Oroville,CA,CCCAA,,W
Cal Poly - San Luis Obispo,San Luis Obispo,CA,NCAA I,M,W
Cal State - Bakersfield,Bakersfield,CA,NCAA I,,W
Cal State - Dominguez Hills,Carson,CA,NCAA II,M,
Cal State - East Bay,Hayward,CA,NCAA II,M,W
Cal State - Los Angeles,Los Angeles,CA,NCAA II,,W
Cal State - Monterey Bay,Seaside,CA,NCAA II,M,W
Cal State - Northridge,Northridge,CA,NCAA I,M,W
Cal State - San Bernardino,San Bernardino,CA,NCAA II,M,
Cal State - San Marcos,San Marcos,CA,NCAA II,M,W
Cal State Fullerton,Fullerton,CA,NCAA I,M,W
Calhoun State CC,Tanner,AL,NJCAA,M,W
California Baptist University,Riverside,CA,NCAA I,M,W
California Lutheran University,Thousand Oaks,CA,NCAA III,M,W
California Maritime Academy,Vallejo,CA,NAIA,M,W
California University of PA,California,PA,NCAA II,M,W
Calvin College,Grand Rapids,MI,NCAA III,M,W
Camden County College,Blackwood,NJ,NJCAA,M,W
Cameron University,Lawton,OK,NCAA II,M,W
Campbell University,Buies Creek,NC,NCAA I,M,W
Campbellsville University,Campbellsville,KY,NAIA,M,W
Campbellsville University - Harrodsburg,Harrodsburg,KY,NCCAA,M,W
Canisius College,Buffalo,NY,NCAA I,M,
Capital University,Columbus,OH,NCAA III,M,W
Carl Sandburg College,Galesburg,IL,NJCAA,M,W
Carleton College,Northfield,MN,NCAA III,M,W
Carlow University,Pittsburgh,PA,NAIA,M,W
Carnegie Mellon University,Pittsburgh,PA,NCAA III,M,W
Carroll College,Helena,MT,NAIA,M,W
Carroll Community College,Westminster,MD,NJCAA,M,W
Carroll University,Waukesha,WI,NCAA III,M,W
Carson-Newman University,Jefferson City,TN,NCAA II,M,W
Carthage College,Kenosha,WI,NCAA III,M,W
Castleton University,Castleton,VT,NCAA III,M,
Catawba College,Salisbury,NC,NCAA II,M,W
Catholic University,Washington,DC,NCAA III,M,W
CC of Allegheny County,Pittsburgh,PA,NJCAA,M,W
Cedarville University,Cedarville,OH,NCAA II,M,
Centenary College of Louisiana,Shreveport,LA,NCAA III,M,W
Central Alabama CC,Alexander City,AL,NJCAA,M,
Central Baptist College,Conway,AR,NAIA,M,W
Central Carolina CC,Sanford,NC,NJCAA,M,
Central Christian College of Kansas,McPherson,KS,NAIA,M,W
Central College,Pella,IA,NCAA III,M,W
Central Community College,Grand Island,NE,NJCAA,M,
Central Maine CC,Auburn,ME,USCAA,M,W
Central Methodist University,Fayette,MO,NAIA,M,W
Central Michigan University,Mount Pleasant,MI,NCAA I,M,W
Central Wyoming College,Riverton,WY,NJCAA,M,W
Centralia College,Centralia,WA,NWAC,,W
Centre College,Danville,KY,NCAA III,M,W
Chadron State College,Chadron,NE,NCAA II,,W
Chaminade University,Honolulu,HI,NCAA II,M,
Chandler-Gilbert CC,Chandler,AZ,NJCAA,M,W
Chapman University,Orange,CA,NCAA III,M,W
Charleston Southern University,Charleston,SC,NCAA I,M,W
Chestnut Hill College,Philadelphia,PA,NCAA II,M,
Chicago State University,Chicago,IL,NCAA I,M,W
Chico State (CSU),Chico,CA,NCAA II,M,W
Chowan University,Murfreesboro,NC,NCAA II,M,W
Christian Brothers University,Memphis,TN,NCAA II,M,W
Christopher Newport University,Newport News,VA,NCAA III,M,W
Citadel Military College,Charleston,SC,NCAA I,,W
Citrus College,Glendora,CA,CCCAA,M,W
Claremont McKenna (CMS),Claremont,CA,NCAA III,M,W
Clarion University,Clarion,PA,NCAA II,M,W
Clarke University,Dubuque,IA,NAIA,M,W
Clarks Summit University,South Abington Twp.,PA,NCAA III,M,
Clarkson University,Potsdam,NY,NCAA III,M,
Clayton State University,Morrow,GA,NCAA II,M,
Cleary University,Howell,MI,NAIA,M,W
Clemson University,Clemson,SC,NCAA I,M,W
Cleveland State CC,Cleveland,TN,NJCAA,M,
Cleveland State University,Cleveland,OH,NCAA I,M,W
Coastal Alabama CC,Bay Minette,AL,NJCAA,M,
Coastal Carolina University,Conway,SC,NCAA I,M,W
Coe College,Cedar Rapids,IA,NCAA III,M,W
Coffeyville CC,Coffeyville,KS,NJCAA,M,W
Coker College,Hartsville,SC,NCAA II,M,W
Colby College,Waterville,ME,NCAA III,M,
Colgate University,Hamilton,NY,NCAA I,M,
College of Charleston,Charleston,SC,NCAA I,M,W
College of Coastal Georgia,Brunswick,GA,NAIA,M,W
College of DuPage,Glen Ellyn,IL,NJCAA,M,W
College of Environ Sci & Forestry,Syracuse,NY,USCAA,M,
College of Idaho,Caldwell,ID,NAIA,M,W
College of Lake County,Grayslake,IL,NJCAA,M,
College of Mount Saint Vincent,Bronx,NY,NCAA III,M,
College of Saint Benedict,St. Joseph,MN,NCAA III,,W
College of Saint Mary,Omaha,NE,NAIA,,W
College of Saint Rose,Albany,NY,NCAA II,M,W
College of Saint Scholastica,Duluth,MN,NCAA III,M,W
College of Southern Maryland,La Plata,MD,NJCAA,M,
College of the Canyons,Santa Clarita,CA,CCCAA,M,W
College of the Desert,Palm Desert,CA,CCCAA,M,W
College of the Ozarks,Point Lookout,MO,NCCAA,M,W
College of William & Mary,Williamsburg,VA,NCAA I,M,W
College of Wooster,Wooster,OH,NCAA III,M,W
College/University,City / Campus,State,Division,Teams,
Colorado Christian University,Lakewood,CO,NCAA II,M,W
Colorado Mesa University,Grand Junction,CO,NCAA II,M,W
Colorado School of Mines,Golden,CO,NCAA II,M,
Colorado State University,Fort Collins,CO,NCAA I,M,W
Colorado State University-Pueblo,Pueblo,CO,NCAA II,M,W
Columbia Basin College,Pasco,WA,NWAC,M,W
Columbia College,Columbia,MO,NAIA,M,W
Columbia College,Columbia,SC,NAIA,M,W
Columbia International University,Columbia,SC,NAIA,M,
Columbia University,New York,NY,NCAA I,M,W
Columbus State University,Columbus,GA,NCAA II,M,W
Concord University,Athens,WV,NCAA II,M,W
Concordia College at Moorhead,Moorhead,MN,NCAA III,M,W
Concordia University-Ann Arbor,Ann Arbor,MI,NAIA,M,W
Concordia University-Nebraska,Seward,NE,NAIA,M,W
Concordia University-Saint Paul,Saint Paul,MN,NCAA II,M,W
Concordia University-Texas,Austin,TX,NCAA III,M,W
Concordia University-Wisconsin,Mequon,WI,NCAA III,M,W
Converse College,Spartanburg,SC,NCAA II,,W
Copiah-Lincoln CC,Wesson,MS,NJCAA,M,
Corban University,Salem,OR,NAIA,M,W
Cornell University,Ithaca,NY,NCAA I,M,
Cornerstone University,Grand Rapids,MI,NAIA,M,W
Cottey College,Nevada,MO,NAIA,,W
County College of Morris,Randolph,NJ,NJCAA,M,W
Covenant College,Lookout Mountain,GA,NCAA III,M,
Creighton University,Omaha,NE,NCAA I,M,W
Crowder College,Neosho,MO,NJCAA,M,W
Crowley's Ridge College,Paragould,AR,NAIA,M,W
Crown College,Saint Bonifacius,MN,NCAA III,M,W
Culver-Stockton College,Canton,MO,NAIA,M,W
Cumberland University,Lebanon,TN,NAIA,M,W
Cuyamaca College,El Cajon,CA,CCCAA,M,W
Cypress College,Cypress,CA,CCCAA,M,
Dakota Wesleyan University,Mitchell,SD,NAIA,M,W
Dallas Baptist University,Dallas,TX,NCAA II,M,W
Dallas Christian College,Dallas,TX,NCCAA,M,W
Dalton State College,Dalton,GA,NAIA,M,W
Danville Area CC,Danville,IL,NJCAA,M,W
Dartmouth College,Hanover,NH,NCAA I,M,W
Davenport University,Grand Rapids,MI,NCAA II,M,W
Davidson - Davie CC,Thomasville,NC,NJCAA,M,W
Davidson College,Davidson,NC,NCAA I,M,
Davis & Elkins College,Elkins,WV,NCAA II,M,W
Daytona State College,Daytona Beach,FL,NJCAA,,W
Dean College,Franklin,MA,NCAA III,M,W
Defiance College,Defiance,OH,NCAA III,M,W
Delaware State University,Dover,DE,NCAA I,,W
Delaware Valley University,Doylestown,PA,NCAA III,M,W
Delta College,University Center,MI,NJCAA,M,
Delta State University,Cleveland,MS,NCAA II,M,
Denison University,Granville,OH,NCAA III,M,W
DePaul University,Chicago,IL,NCAA I,M,
DePauw University,Greencastle,IN,NCAA III,M,W
Des Moines Area CC,Ankeny,IA,NJCAA,M,W
DeSales University,Center Valley,PA,NCAA III,M,
Dickinson College,Carlisle,PA,NCAA III,M,W
Dickinson State University,Dickinson,ND,NAIA,M,W
Doane University,Crete,NE,NAIA,M,W
Dodge City CC,Dodge City,KS,NJCAA,M,W
Dominican College,Orangeburg,NY,NCAA II,M,W
Dominican University,River Forest,IL,NCAA III,M,
Dominican University of California,San Rafael,CA,NCAA II,M,W
Dordt College,Sioux Center,IA,NAIA,M,W
Drake University,Des Moines,IA,NCAA I,M,W
Drew University,Madison,NJ,NCAA III,M,W
Drexel University,Philadelphia,PA,NCAA I,M,
Drury University,Springfield,MO,NCAA II,M,W
Duke University,Durham,NC,NCAA I,M,W
Duquesne University,Pittsburgh,PA,NCAA I,,W
Earlham College,Richmond,IN,NCAA III,M,W
East Carolina University,Greenville,NC,NCAA I,M,W
East Central CC,Decatur,MS,NJCAA,M,
East Mississippi CC,Scooba,MS,NJCAA,M,
East Stroudsburg University,East Stroudsburg,PA,NCAA II,,W
East Tennessee State University,Johnson City,TN,NCAA I,M,W
East Texas Baptist University,Marshall,TX,NCAA III,M,W
Eastern Arizona College,Thatcher,AZ,NJCAA,M,
Eastern Connecticut State Univ,Willimantic,CT,NCAA III,M,
Eastern Florida State College,Cocoa,FL,NJCAA,M,W
Eastern Illinois University,Charleston,IL,NCAA I,M,W
Eastern Kentucky University,Richmond,KY,NCAA I,M,W
Eastern Michigan University,Ypsilanti,MI,NCAA I,M,W
Eastern Nazarene College,Quincy,MA,NCAA III,M,
Eastern University,Saint Davids,PA,NCAA III,M,W
Eastern Washington University,Cheney,WA,NCAA I,,W
Eastern Wyoming College,Torrington,WY,NJCAA,M,
Eckerd College,Saint Petersburg,FL,NCAA II,M,W
Edgewood College,Madison,WI,NCAA III,M,W
Edward Waters University,Jacksonville,FL,NCAA II,,W
El Camino College,Torrance,CA,CCCAA,M,
Elgin CC,Elgin,IL,NJCAA,M,
Elizabeth City State University,Elizabeth City,NC,NCAA II,M,
Elizabethtown College,Elizabethtown,PA,NCAA III,M,W
Elmhurst College,Elmhurst,IL,NCAA III,M,W
Elmira College,Elmira,NY,NCAA III,M,
Elms College,Chicopee,MA,NCAA III,M,
Elon University,Elon,NC,NCAA I,M,W
Embry-Riddle Aeronautical Univ,Daytona Beach,FL,NCAA II,M,W
Embry-Riddle Aeronautical University,Prescott,AZ,NAIA,M,W
Emmanuel College,Boston,MA,NCAA III,M,
Emmanuel College,Franklin Springs,GA,NCAA II,M,W
Emory & Henry College,Emory,VA,NCAA II,M,W
Emory Oxford,Oxford,GA,NJCAA,M,W
Emory University,Atlanta,GA,NCAA III,M,W
Endicott College,Beverly,MA,NCAA III,M,
Enterprise State CC,Enterprise,AL,NJCAA,M,W
Erskine College,Due West,SC,NCAA II,M,W
Estrella Mountain CC,Avondale,AZ,NJCAA,M,W
Eureka College,Eureka,IL,NCAA III,M,W
Evangel University,Springfield,MO,NAIA,M,W
Fairfield University,Fairfield,CT,NCAA I,M,W
Fairleigh Dickinson Univ - Florham,Madison,NJ,NCAA III,M,W
Fairleigh Dickinson University,Teaneck,NJ,NCAA I,M,W
Fairmont State University,Fairmont,WV,NCAA II,M,W
Farmingdale State College,Farmingdale,NY,NCAA III,M,
Faulkner University,Montgomery,AL,NAIA,M,W
Fayetteville State University,Fayetteville,NC,NCAA II,M,
Felician University,Rutherford,NJ,NCAA II,M,
Ferris State University,Big Rapids,MI,NCAA II,M,W
Ferrum College,Ferrum,VA,NCAA III,M,W
Fisk University,Nashville,TN,NAIA,M,W
Flagler College,Saint Augustine,FL,NCAA II,M,W
Florida A & M University,Tallahassee,FL,NCAA I,M,
Florida Atlantic University,Boca Raton,FL,NCAA I,M,W
Florida College,Temple Terrace,FL,NAIA,M,W
Florida Gulf Coast University,Fort Myers,FL,NCAA I,M,W
Florida International University,Miami,FL,NCAA I,,W
Florida Southern College,Lakeland,FL,NCAA II,M,W
Florida State University,Tallahassee,FL,NCAA I,M,W
Fontbonne University,Saint Louis,MO,NCAA III,M,W
Fordham University,Bronx,NY,NCAA I,M,
Fort Hays State University,Hays,KS,NCAA II,M,W
Fort Lewis College,Durango,CO,NCAA II,M,W
Fort Scott CC,Fort Scott,KS,NJCAA,M,W
Francis Marion University,Florence,SC,NCAA I,M,
Franciscan University of Steubenville,Steubenville,OH,NCAA III,,W
Franklin & Marshall College,Lancaster,PA,NCAA III,M,W
Franklin College,Franklin,IN,NCAA III,M,W
Franklin Pierce University,Rindge,NH,NCAA II,M,W
Freed-Hardeman University,Henderson,TN,NAIA,M,W
Fresno City College,Fresno,CA,CCCAA,M,W
Fresno State,Fresno,CA,NCAA I,M,W
Friends University,Wichita,KS,NAIA,M,W
Fullerton College,Fullerton,CA,CCCAA,,W
Fulton-Montgomery CC,Johnstown,NY,NJCAA,M,W
Furman University,Greenville,SC,NCAA I,M,W
Gannon University,Erie,PA,NCAA II,M,W
Garden City CC,Garden City,KS,NJCAA,M,W
Gardner-Webb University,Boiling Springs,NC,NCAA I,M,W
Geneva College,Beaver Falls,PA,NCAA III,M,W
George Fox University,Newberg,OR,NCAA III,M,W
George Mason University,Fairfax,VA,NCAA I,M,
George Washington University,Washington,DC,NCAA I,M,
Georgetown College,Georgetown,KY,NAIA,M,W
Georgetown University,Washington,DC,NCAA I,M,W
Georgia College,Milledgeville,GA,NCAA II,M,
Georgia Institute of Technology,Atlanta,GA,NCAA I,M,
Georgia Military College,Milledgeville,GA,NJCAA,M,W
Georgia Southern University,Statesboro,GA,NCAA I,M,W
Georgia Southwestern State Univ,Americus,GA,NCAA II,M,
Georgia State University,Atlanta,GA,NCAA I,M,W
Gettysburg College,Gettysburg,PA,NCAA III,M,W
Glen Oaks CC,Centreville,MI,NJCAA,M,
Glendale CC,Glendale,AZ,NJCAA,M,
Glendale Community College,Glendale,CA,CCCAA,M,
Glenville State College,Glenville,WV,NCAA II,M,W
Goldey-Beacom College,Wilmington,DE,NCAA II,M,
Gonzaga University,Spokane,WA,NCAA I,M,W
Gordon College,Wenham,MA,NCAA III,M,
Goucher College,Baltimore,MD,NCAA III,M,W
Governors State University,University Park,IL,NAIA,M,W
Grace Christian University,Wyoming,MI,NCCAA,M,
Grace College,Winona Lake,IN,NAIA,M,W
Graceland University,Lamoni,IA,NAIA,M,W
Grand Canyon University,Phoenix,AZ,NCAA I,M,W
Grand Rapids CC,Grand Rapids,MI,NJCAA,M,
Grand Valley State University,Allendale,MI,NCAA II,M,W
Grand View University,Des Moines,IA,NAIA,M,W
Grays Harbor College,Aberdeen,WA,NWAC,M,W
Great Bay CC,Portsmouth,NH,USCAA,M,
Greensboro College,Greensboro,NC,NCAA III,M,
Grinnell College,Grinnell,IA,NCAA III,M,W
Grove City College,Grove City,PA,NCAA III,M,W
Guilford College,Greensboro,NC,NCAA III,M,
Gustavus Adolphus College,Saint Peter,MN,NCAA III,M,W
Hagerstown CC,Hagerstown,MD,NJCAA,M,
Hamilton College,Clinton,NY,NCAA III,M,W
Hampden-Sydney College,Hampden-Sydney,VA,NCAA III,M,
Hanover College,Hanover,IN,NCAA III,M,W
Hardin-Simmons University,Abilene,TX,NCAA III,M,W
Harding University,Searcy,AR,NCAA II,M,W
Harvard University,Cambridge,MA,NCAA I,M,W
Harvey Mudd College (CMS),Claremont,CA,NCAA III,M,W
Haskell Indian Nations University,Lawrence,KS,NAIA,M,
Hastings College,Hastings,NE,NAIA,M,W
Hawaii Pacific University,Honolulu,HI,NCAA II,M,W
Hawkeye Community College,Waterloo,IA,NJCAA,M,W
Heartland Community College,Normal,IL,NJCAA,M,
Heidelberg University,Tiffin,OH,NCAA III,M,W
Henderson State University,Arkadelphia,AR,NCAA II,M,W
Hendrix College,Conway,AR,NCAA III,M,W
Henry Ford College,Dearborn,MI,NJCAA,M,W
Herkimer College,Herkimer,NY,NJCAA,M,W
Hesston College,Hesston,KS,NJCAA,M,
High Point University,High Point,NC,NCAA I,M,W
Highland Community College,Freeport,IL,NJCAA,M,
Highline College,Des Moines,WA,NWAC,,W
Hilbert College,Hamburg,NY,NCAA III,M,W
Hillsdale College,Hillsdale,MI,NCAA II,M,
Hinds Community College,Raymond,MS,NJCAA,M,
Hiram College,Hiram,OH,NCAA III,M,W
Hobart William Smith Colleges,Geneva,NY,NCAA III,M,W
Hofstra University,Hempstead,NY,NCAA I,M,W
Holy Cross,Worcester,MA,NCAA I,M,W
Holy Cross College,Notre Dame,IN,NAIA,M,W
Holy Names University,Oakland,CA,NCAA II,M,W
Holyoke CC,Holyoke,MA,NJCAA,M,W
Hood College,Frederick,MD,NCAA III,M,W
Hope College,Holland,MI,NCAA III,M,W
Hope International University,Fullerton,CA,NAIA,M,W
Houston Christian University,Houston,TX,NCAA I,M,W
Howard Payne University,Brownwood,TX,NCAA III,M,W
Howard University,Washington,DC,NCAA I,M,W
Hudson Valley CC,Troy,NY,NJCAA,M,W
Huntingdon College,Montgomery,AL,NCAA III,M,W
Huntington University,Huntington,IN,NAIA,M,W
Husson University,Bangor,ME,NCAA III,M,W
Hutchinson CC,Hutchinson,KS,NJCAA,M,
Idaho State University,Pocatello,ID,NCAA I,,W
Illinois Central College,East Peoria,IL,NJCAA,M,
Illinois College,Jacksonville,IL,NCAA III,M,W
Illinois State University,Normal,IL,NCAA I,M,W
Illinois Valley CC,Oglesby,IL,NJCAA,M,
Illinois Wesleyan University,Bloomington,IL,NCAA III,M,W
Indian Hills CC,Ottumwa,IA,NJCAA,M,W
Indiana Institute of Technology,Fort Wayne,IN,NAIA,M,W
Indiana State University,Terre Haute,IN,NCAA I,,W
Indiana University,Bloomington,IN,NCAA I,M,W
Indiana University of Pennsylvania,Indiana,PA,NCAA II,M,
Indiana University-East,Richmond,IN,NAIA,M,W
Indiana University-Kokomo,Kokomo,IN,NAIA,M,W
Indiana University-South Bend,South Bend,IN,NAIA,M,W
Indiana Wesleyan University,Marion,IN,NAIA,M,W
Indiana-Purdue Univ- Fort Wayne,Fort Wayne,IN,NCAA I,M,W
Indiana-Purdue Univ- Indianapolis,Indianapolis,IN,NCAA I,M,W
Iona College,New Rochelle,NY,NCAA I,M,
Iowa Central CC,Fort Dodge,IA,NJCAA,M,W
Iowa Lakes CC,Estherville,IA,NJCAA,M,W
Iowa State University,Ames,IA,NCAA I,M,W
Iowa Wesleyan University,Mount Pleasant,IA,NAIA,M,W
Iowa Western CC,Council Bluffs,IA,NJCAA,M,W
Itawamba Community College,Fulton,MS,NJCAA,M,
Ithaca College,Ithaca,NY,NCAA III,,W
Jackson College,Jackson,MI,NJCAA,M,
Jacksonville College,Jacksonville,TX,NJCAA,M,W
Jacksonville State University,Jacksonville,AL,NCAA I,M,W
Jacksonville University,Jacksonville,FL,NCAA I,M,W
James Madison University,Harrisonburg,VA,NCAA I,M,W
Jamestown Community College,Jamestown,NY,NJCAA,M,W
Jarvis Christian University,Hawkins,TX,NAIA,M,W
Jefferson Community College,Watertown,NY,NJCAA,M,W
Jefferson State Community College,Birmingham,AL,NJCAA,M,W
John A Logan College,Carterville,IL,NJCAA,M,W
John Carroll University,University Hgts,OH,NCAA III,M,W
Johnson & Wales University,Charlotte,NC,USCAA,M,W
Johnson C. Smith University,Charlotte,NC,NCAA II,M,
Jones College,Ellisville,MS,NJCAA,M,
Judson University,Elgin,IL,NAIA,M,W
Juniata College,Huntingdon,PA,NCAA III,M,W
Kalamazoo College,Kalamazoo,MI,NCAA III,M,W
Kansas City Kansas CC,Kansas City,KS,NJCAA,M,
Kansas State University,Manhattan,KS,NCAA I,M,W
Kansas Wesleyan University,Salina,KS,NAIA,M,W
Keene State College,Keene,NH,NCAA III,M,W
Keiser University,Fort Lauderdale,FL,NAIA,M,W
Kennesaw State University,Kennesaw,GA,NCAA I,M,W
Kent State Univ at Tuscarawas,New Philadelphia,OH,USCAA,M,
Kent State University,Kent,OH,NCAA I,M,W
Kentucky Christian University,Grayson,KY,NAIA,M,W
Kentucky State University,Frankfort,KY,NCAA II,M,
Kentucky Wesleyan College,Owensboro,KY,NCAA II,M,W
Kenyon College,Gambier,OH,NCAA III,M,
Keuka College,Keuka Park,NY,NCAA III,M,W
King University,Bristol,TN,NCAA II,M,W
King's College,Wilkes-Barre,PA,NCAA III,M,W
Kirkwood CC,Cedar Rapids,IA,NJCAA,M,
Kirtland Community College,Roscommon,MI,NJCAA,M,W
Kishwaukee College,Malta,IL,NJCAA,M,W
Knox College,Galesburg,IL,NCAA III,M,W
Kutztown University,Kutztown,PA,NCAA II,,W
La Roche College,Pittsburgh,PA,NCAA III,M,
La Salle University,Philadelphia,PA,NCAA I,M,W
Lafayette College,Easton,PA,NCAA I,M,
LaGrange College,Lagrange,GA,NCAA III,M,
Lake Erie College,Painesville,OH,NCAA II,M,W
Lake Forest College,Lake Forest,IL,NCAA III,M,W
Lake Superior State University,Sault Ste Marie,MI,NCAA II,M,W
Lakeland University,Plymouth,WI,NCAA III,M,W
Lamar CC,Lamar,CO,NJCAA,M,
Lamar University,Beaumont,TX,NCAA I,M,W
Lancaster Bible College,Lancaster,PA,NCAA III,M,
Lander University,Greenwood,SC,NCAA II,M,W
Lawrence Technological University,Southfield,MI,NAIA,M,W
Le Moyne College,Syracuse,NY,NCAA II,M,W
Le Moyne-Owen College,Memphis,TN,NCAA II,M,
Lebanon Valley College,Annville,PA,NCAA III,M,W
Lee University,Cleveland,TN,NCAA II,M,W
Lehigh Carbon CC,Schnecksville,PA,NJCAA,M,
Lehigh University,Bethlehem,PA,NCAA I,M,W
Lenoir-Rhyne University,Hickory,NC,NCAA II,M,W
LeTourneau University,Longview,TX,NCAA III,M,W
Lewis & Clark College,Portland,OR,NCAA III,M,W
Lewis and Clark CC,Godfrey,IL,NJCAA,M,
Lewis University,Romeoville,IL,NCAA II,M,W
Lewis-Clark State College,Lewiston,ID,NAIA,M,W
